City,Year,Month,TotalPrecipitation,MeanTemperature
Vavuniya,2017,02,50.0,24.653571428571436
Vavuniya,2017,01,167.0,24.158064516129034
Vavuniya,2014,10,290.0,26.17741935483871
Vavuniya,2017,09,137.0,27.183333333333326
Vavuniya,2017,08,115.0,27.922580645161297
Vavuniya,2017,07,75.0,29.267741935483873
Vavuniya,2019,12,365.0,24.96451612903226
Vavuniya,2014,02,41.0,25.314285714285706
Vavuniya,2014,03,29.0,27.477419354838716
Vavuniya,2011,10,251.0,26.71290322580645
Vavuniya,2014,01,228.0,23.9
Vavuniya,2011,11,257.0,24.959999999999997
Vavuniya,2019,10,348.0,25.68064516129032
Vavuniya,2019,11,295.0,25.863333333333337
Vavuniya,2014,08,105.0,27.900000000000002
Vavuniya,2014,09,121.0,28.090000000000007
Vavuniya,2014,06,49.0,29.476666666666656
Vavuniya,2011,12,199.0,24.487096774193546
Vavuniya,2014,07,42.0,29.090322580645168
Vavuniya,2014,04,90.0,28.633333333333333
Vavuniya,2014,05,122.0,28.041935483870972
Vavuniya,2019,01,77.0,24.3225806451613
Vavuniya,2019,02,138.0,25.914285714285715
Vavuniya,2019,03,32.0,28.06129032258065
Vavuniya,2019,04,104.0,28.86333333333334
Vavuniya,2019,05,46.0,29.635483870967743
Vavuniya,2019,06,44.0,29.766666666666662
Vavuniya,2019,07,57.0,29.180645161290315
Vavuniya,2019,08,149.0,28.04516129032258
Vavuniya,2016,12,132.0,24.767741935483865
Vavuniya,2016,11,203.0,25.31333333333333
Vavuniya,2016,10,85.0,27.98064516129032
Vavuniya,2011,05,57.0,28.33870967741935
Vavuniya,2011,06,47.0,28.906666666666673
Vavuniya,2011,07,66.0,28.12903225806451
Vavuniya,2011,08,74.0,27.91612903225806
Vavuniya,2011,01,288.0,23.570967741935487
Vavuniya,2011,02,172.0,24.446428571428573
Vavuniya,2011,03,74.0,26.793548387096774
Vavuniya,2011,04,197.0,27.040000000000003
Vavuniya,2019,09,173.0,27.676666666666666
Vavuniya,2011,09,54.0,28.479999999999997
Vavuniya,2016,05,165.0,28.10645161290323
Vavuniya,2013,11,168.0,25.610000000000003
Vavuniya,2016,04,49.0,29.879999999999995
Vavuniya,2013,10,106.0,27.69677419354839
