precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
16,18000.0,13.1,2.45,2.63,-0.18
10,34553.48,11.2,4.6,3.86,0.74
13,30716.21,15.8,3.9,3.35,0.55
5,24848.32,13.0,3.7,3.43,0.27
20,19864.55,11.6,3.1,2.67,0.43
14,27464.92,18.1,3.73,3.25,0.48
24,8967.09,16.9,2.3,2.07,0.23
24,4153.32,16.6,1.67,1.52,0.15
22,0.0,25.0,1.0,1.63,-0.63
17,31541.47,21.9,3.31,3.34,-0.03
22,26523.18,33.9,3.68,3.39,0.29
22,18926.03,34.5,3.09,3.38,-0.29
21,30282.66,34.7,4.23,3.61,0.62
24,18015.72,33.6,2.96,2.51,0.45
22,22555.68,25.3,3.17,2.96,0.21
23,24021.55,22.9,2.8,2.76,0.04
18,30118.38,23.6,3.42,3.28,0.14
20,26800.17,22.3,3.03,3.01,0.02
22,23086.73,28.0,2.78,2.92,-0.14
22,39358.49,18.8,3.44,3.6,-0.16
14,40112.73,9.0,4.1,4.07,0.03
9,39600.0,9.0,4.43,3.96,0.47
9,39728.03,11.9,3.53,4.12,-0.59
10,40047.03,12.9,3.8,4.14,-0.34
10,39834.82,13.7,3.48,3.98,-0.5
7,35323.45,10.1,3.62,4.01,-0.39
11,39600.0,12.9,3.97,4.02,-0.05
15,30657.08,10.6,3.51,3.45,0.06
19,14741.15,16.2,2.19,2.23,-0.04
10,32353.48,13.5,3.41,3.7,-0.29
10,38129.58,13.4,3.5,3.89,-0.39
15,35185.35,11.8,3.15,3.66,-0.51
16,36126.45,12.5,3.72,3.63,0.09
20,39118.82,14.0,3.03,3.44,-0.41
18,27374.75,14.8,3.21,2.99,0.22
10,26019.08,15.3,2.48,3.17,-0.69
19,7790.08,14.3,2.0,2.21,-0.21
19,11202.11,19.9,2.08,2.23,-0.15
18,27201.35,19.6,2.61,3.0,-0.39
20,2088.79,20.0,1.29,1.56,-0.27
24,6166.2,17.4,1.73,1.6,0.13
15,24940.79,16.8,2.55,2.88,-0.33
19,25412.72,18.9,2.56,2.84,-0.28
19,32779.27,18.9,2.96,3.1,-0.14
14,24271.94,18.5,2.93,3.13,-0.2
18,31020.05,17.8,3.19,3.16,0.03
16,40619.37,18.7,3.86,3.86,0.0
14,38175.33,16.6,3.01,3.57,-0.56
15,40279.82,17.4,3.77,3.95,-0.18
11,40165.34,16.9,3.66,4.16,-0.5
7,40395.88,14.2,3.56,4.37,-0.81
15,31946.75,13.3,3.08,3.47,-0.39
13,29573.43,17.8,2.82,3.35,-0.53
14,35002.2,15.9,3.53,3.4,0.13
7,38924.38,13.0,3.49,4.22,-0.73
20,22472.93,12.2,3.06,2.91,0.15
11,33404.14,14.8,3.17,3.57,-0.4
10,37809.29,16.3,3.66,3.88,-0.22
17,40155.98,18.2,3.93,3.83,0.1
17,39942.19,15.3,3.34,3.64,-0.3
15,37347.14,14.6,3.51,3.66,-0.15
12,40589.12,15.3,3.83,4.07,-0.24
13,27548.23,12.0,3.33,3.37,-0.04
6,38638.27,15.4,3.84,4.28,-0.44
12,40324.55,15.1,4.22,4.06,0.16
8,35232.29,16.1,3.75,3.95,-0.2
9,40488.9,12.0,4.5,4.38,0.12
13,38138.63,11.7,3.94,3.84,0.1
1,40765.87,11.0,4.48,5.07,-0.59
3,40953.22,14.0,4.55,4.89,-0.34
8,40880.47,17.6,4.14,4.24,-0.1
14,40163.83,19.3,3.99,4.06,-0.07
16,36100.67,16.9,3.38,3.48,-0.1
12,38755.69,14.2,3.91,3.84,0.07
14,40164.77,15.0,3.58,4.04,-0.46
17,24758.87,13.2,2.81,2.96,-0.15
19,27640.65,14.3,3.03,2.86,0.17
13,35158.88,16.3,3.37,3.65,-0.28
21,33140.82,18.4,2.98,3.07,-0.09
19,35123.91,16.9,3.4,3.28,0.12
16,38544.08,18.0,3.05,3.77,-0.72
19,35349.55,22.0,2.78,3.4,-0.62
